Binomial (reptile database),name in Tonini et al. 2016,mode of reproduction,brood size (# of hatchling or neonates),log female mass (g),log hatchling mass (g),RI (%),mean annual temperature (ºC),temperature seasonality
Ablepharus bivittatus,Ablepharus_bivittatus,Oviparous,4,0.53,-1.03,11%,13.79,8900.4
Ablepharus deserti,Ablepharus_deserti,Oviparous,4.5,0.24,-1.11,20%,8.52,9932.6
Ablepharus kitaibelii,Ablepharus_kitaibelii,Oviparous,2.8,0.21,-0.95,19%,11.91,7460.9
Ablepharus rueppellii,Ablepharus_rueppellii,Oviparous,1.8,-0.13,-1.03,22%,18.75,5935.1
Acanthocercus atricollis,Acanthocercus_atricollis,Oviparous,11.36,1.70,0.07,27%,21.84,1863.7
Acanthodactylus beershebensis,Acanthodactylus_beershebensis,Oviparous,4.9,0.80,-0.42,29%,19.11,5652.2
Acanthodactylus boskianus,Acanthodactylus_boskianus,Oviparous,4.3,0.71,-0.34,38%,23.41,6174.4
Acanthodactylus cantoris,Acanthodactylus_cantoris,Oviparous,5.5,0.42,-0.37,90%,22.77,6576.3
Acanthodactylus erythrurus,Acanthodactylus_erythrurus,Oviparous,3.7,0.88,-0.23,29%,14.54,6008.4
Acanthodactylus longipes,Acanthodactylus_longipes,Oviparous,2.7,0.38,-0.52,33%,24.03,6642.6
Acanthodactylus pardalis,Acanthodactylus_pardalis,Oviparous,3.65,0.73,-0.18,45%,19.38,5355.1
Acanthodactylus schreiberi,Acanthodactylus_schreiberi,Oviparous,3,0.89,0.04,42%,18.18,5540.1
Acanthodactylus scutellatus,Acanthodactylus_scutellatus,Oviparous,2.9,0.53,-0.46,30%,23.82,6556.7
Acanthosaura armata,Acanthosaura_armata,Oviparous,14.5,1.80,-0.10,18%,25.53,852.2
Acanthosaura lepidogaster,Acanthosaura_lepidogaster,Oviparous,13,1.39,-0.29,27%,22.09,3587
Adelphicos quadrivirgatum,Adelphicos_quadrivirgatum,Oviparous,3,0.62,-0.16,50%,22.17,239.368
Adolfus jacksoni,Adolfus_jacksoni,Oviparous,3.5,0.88,-0.42,18%,20.87,673.8
Agama aculeata,Agama_aculeata,Oviparous,12.75,1.31,-0.24,36%,19.83,3312.9
Agama agama,Agama_agama,Oviparous,8.8,1.38,-0.06,32%,24.77,1719.9
Agama atra,Agama_atra,Oviparous,12.5,1.35,-0.29,29%,16.67,4429.7
Agama boueti,Agama_boueti,Oviparous,9.3,1.35,-0.12,31%,27.83,4366.7
Agama caudospinosa,Agama_caudospinosa,Oviparous,7.5,1.79,0.39,30%,17.5,1025.1
Agama hispida,Agama_hispida,Oviparous,13.7,1.51,-0.15,31%,16.73,4624.4
